"ID" "Model" "type" "value"
"1" "res_points" "MSE" "10.8264626460799"
"1" "res_points" "MAE" "2.6352151479338"
"1" "res_points" "elpd" "0.0508834682004915"
"1" "res_points" "WD" "49.246253517462"
"1" "resPS_points" "MSE" "259.577991029798"
"1" "resPS_points" "MAE" "14.238829471794"
"1" "resPS_points" "elpd" "1.40245096537286"
"1" "resPS_points" "WD" "366.85105335909"
"1" "res_pointsareas" "MSE" "8.71405546126441"
"1" "res_pointsareas" "MAE" "2.36137803416903"
"1" "res_pointsareas" "elpd" "0.118077722378597"
"1" "res_pointsareas" "WD" "27.7309877350816"
"1" "resPS_pointsareas" "MSE" "8.80918561976626"
"1" "resPS_pointsareas" "MAE" "2.38046674770552"
"1" "resPS_pointsareas" "elpd" "1.12953581863253"
"1" "resPS_pointsareas" "WD" "26.8617504920526"
"2" "res_points" "MSE" "25.2644073950479"
"2" "res_points" "MAE" "4.17349468134212"
"2" "res_points" "elpd" "0.0989940428402295"
"2" "res_points" "WD" "62.8509022725684"
"2" "resPS_points" "MSE" "163.788134629093"
"2" "resPS_points" "MAE" "12.1337310467638"
"2" "resPS_points" "elpd" "2.8190502198473"
"2" "resPS_points" "WD" "212.993311372738"
"2" "res_pointsareas" "MSE" "8.30672954628253"
"2" "res_pointsareas" "MAE" "2.27802960126405"
"2" "res_pointsareas" "elpd" "0.159983145225405"
"2" "res_pointsareas" "WD" "13.939742657543"
"2" "resPS_pointsareas" "MSE" "9.69036929494817"
"2" "resPS_pointsareas" "MAE" "2.43807911208814"
"2" "resPS_pointsareas" "elpd" "1.12789009723554"
"2" "resPS_pointsareas" "WD" "40.2866368875423"
"3" "res_points" "MSE" "8.41008894021194"
"3" "res_points" "MAE" "2.32265038374597"
"3" "res_points" "elpd" "0.144715875201998"
"3" "res_points" "WD" "17.6318901457033"
"3" "resPS_points" "MSE" "21.0919655714459"
"3" "resPS_points" "MAE" "3.62770437122208"
"3" "resPS_points" "elpd" "1.5553298294811"
"3" "resPS_points" "WD" "23.6646736948481"
"3" "res_pointsareas" "MSE" "7.24434447135542"
"3" "res_pointsareas" "MAE" "2.17466176149948"
"3" "res_pointsareas" "elpd" "0.188945688963707"
"3" "res_pointsareas" "WD" "17.2552285184584"
"3" "resPS_pointsareas" "MSE" "7.2017760269468"
"3" "resPS_pointsareas" "MAE" "2.16951160341166"
"3" "resPS_pointsareas" "elpd" "1.13335134325275"
"3" "resPS_pointsareas" "WD" "15.7786986103252"
"4" "res_points" "MSE" "20.3387324724004"
"4" "res_points" "MAE" "3.68549089524584"
"4" "res_points" "elpd" "0.388690798957429"
"4" "res_points" "WD" "37.4727687429437"
"4" "resPS_points" "MSE" "128.043973156507"
"4" "resPS_points" "MAE" "10.6268653655413"
"4" "resPS_points" "elpd" "12.0194912127862"
"4" "resPS_points" "WD" "172.884077364246"
"4" "res_pointsareas" "MSE" "9.52527528301607"
"4" "res_pointsareas" "MAE" "2.456822839617"
"4" "res_pointsareas" "elpd" "0.311082349884856"
"4" "res_pointsareas" "WD" "26.7436330136609"
"4" "resPS_pointsareas" "MSE" "9.51918070023683"
"4" "resPS_pointsareas" "MAE" "2.45503755300995"
"4" "resPS_pointsareas" "elpd" "1.16158030705413"
"4" "resPS_pointsareas" "WD" "24.5731477530137"
"5" "res_points" "MSE" "8.89090487253186"
"5" "res_points" "MAE" "2.32311487106032"
"5" "res_points" "elpd" "0.0455235408161228"
"5" "res_points" "WD" "53.1879728347416"
"5" "resPS_points" "MSE" "10.9782965705761"
"5" "resPS_points" "MAE" "2.60632933242696"
"5" "resPS_points" "elpd" "1.20083293763097"
"5" "resPS_points" "WD" "44.0677240133228"
"5" "res_pointsareas" "MSE" "6.03789078254942"
"5" "res_pointsareas" "MAE" "1.9446337863093"
"5" "res_pointsareas" "elpd" "0.145626292786211"
"5" "res_pointsareas" "WD" "11.7882616342939"
"5" "resPS_pointsareas" "MSE" "6.83933050367403"
"5" "resPS_pointsareas" "MAE" "2.08380524811776"
"5" "resPS_pointsareas" "elpd" "1.17850333171984"
"5" "resPS_pointsareas" "WD" "27.0845970996345"
"6" "res_points" "MSE" "9.93414566986629"
"6" "res_points" "MAE" "2.55284149587528"
"6" "res_points" "elpd" "0.388229374614687"
"6" "res_points" "WD" "26.340426292331"
"6" "resPS_points" "MSE" "61.4648478729009"
"6" "resPS_points" "MAE" "6.84486808522449"
"6" "resPS_points" "elpd" "1.5405076350097"
"6" "resPS_points" "WD" "84.8557987471936"
"6" "res_pointsareas" "MSE" "8.57433079844311"
"6" "res_pointsareas" "MAE" "2.38142591905044"
"6" "res_pointsareas" "elpd" "0.360770760337607"
"6" "res_pointsareas" "WD" "20.1035381227767"
"6" "resPS_pointsareas" "MSE" "8.58912906589453"
"6" "resPS_pointsareas" "MAE" "2.38424383303334"
"6" "resPS_pointsareas" "elpd" "1.18613257655355"
"6" "resPS_pointsareas" "WD" "18.9337804649049"
"7" "res_points" "MSE" "12.2910326484677"
"7" "res_points" "MAE" "2.80785170408228"
"7" "res_points" "elpd" "0.066836251830477"
"7" "res_points" "WD" "29.4600547208511"
"7" "resPS_points" "MSE" "16.3297218865702"
"7" "resPS_points" "MAE" "3.23893045525196"
"7" "resPS_points" "elpd" "1.16395598825778"
"7" "resPS_points" "WD" "33.6777261667194"
"7" "res_pointsareas" "MSE" "7.1906195709734"
"7" "res_pointsareas" "MAE" "2.12779424021471"
"7" "res_pointsareas" "elpd" "0.0954318743399838"
"7" "res_pointsareas" "WD" "26.9684119644151"
"7" "resPS_pointsareas" "MSE" "7.18641066465639"
"7" "resPS_pointsareas" "MAE" "2.12709196785536"
"7" "resPS_pointsareas" "elpd" "1.08528310215643"
"7" "resPS_pointsareas" "WD" "25.1870669837424"
"8" "res_points" "MSE" "13.8241789217391"
"8" "res_points" "MAE" "3.01193129037636"
"8" "res_points" "elpd" "0.258713650472993"
"8" "res_points" "WD" "26.0374563286067"
"8" "resPS_points" "MSE" "79.5147740882467"
"8" "resPS_points" "MAE" "8.21037166385562"
"8" "resPS_points" "elpd" "11.6129158967277"
"8" "resPS_points" "WD" "92.7530427319596"
"8" "res_pointsareas" "MSE" "9.71562003449501"
"8" "res_pointsareas" "MAE" "2.54721362576815"
"8" "res_pointsareas" "elpd" "0.291906278983657"
"8" "res_pointsareas" "WD" "14.6920011179657"
"8" "resPS_pointsareas" "MSE" "9.70852657888891"
"8" "resPS_pointsareas" "MAE" "2.54453420877629"
"8" "resPS_pointsareas" "elpd" "1.18492284349418"
"8" "resPS_pointsareas" "WD" "13.2513372104206"
"9" "res_points" "MSE" "8.95377736514701"
"9" "res_points" "MAE" "2.39177375414328"
"9" "res_points" "elpd" "0.138289787820527"
"9" "res_points" "WD" "13.298251487251"
"9" "resPS_points" "MSE" "128.911510955632"
"9" "resPS_points" "MAE" "10.7803576046412"
"9" "resPS_points" "elpd" "4.02494877112883"
"9" "resPS_points" "WD" "179.523597958241"
"9" "res_pointsareas" "MSE" "6.87538105270245"
"9" "res_pointsareas" "MAE" "2.09981716207126"
"9" "res_pointsareas" "elpd" "0.158983714148004"
"9" "res_pointsareas" "WD" "9.98005485997869"
"9" "resPS_pointsareas" "MSE" "5.89959652493534"
"9" "resPS_pointsareas" "MAE" "1.9131680076503"
"9" "resPS_pointsareas" "elpd" "1.12560602211579"
"9" "resPS_pointsareas" "WD" "45.2824638720596"
"10" "res_points" "MSE" "10.1114141994783"
"10" "res_points" "MAE" "2.49909806924598"
"10" "res_points" "elpd" "0.126070987221278"
"10" "res_points" "WD" "14.9884514589917"
"10" "resPS_points" "MSE" "42.2141963268656"
"10" "resPS_points" "MAE" "5.35587040616684"
"10" "resPS_points" "elpd" "1.97960815483108"
"10" "resPS_points" "WD" "62.052306273602"
"10" "res_pointsareas" "MSE" "7.83953345724325"
"10" "res_pointsareas" "MAE" "2.16599757922165"
"10" "res_pointsareas" "elpd" "0.161381687645733"
"10" "res_pointsareas" "WD" "12.5632068078101"
"10" "resPS_pointsareas" "MSE" "7.83690444408397"
"10" "resPS_pointsareas" "MAE" "2.16563541146656"
"10" "resPS_pointsareas" "elpd" "1.14933817286786"
"10" "resPS_pointsareas" "WD" "12.269239154735"
"11" "res_points" "MSE" "14.0696884633211"
"11" "res_points" "MAE" "2.93752767263013"
"11" "res_points" "elpd" "0.240922200788445"
"11" "res_points" "WD" "24.1466769274528"
"11" "resPS_points" "MSE" "76.2175780443905"
"11" "resPS_points" "MAE" "7.56531370243789"
"11" "resPS_points" "elpd" "1.51245589496479"
"11" "resPS_points" "WD" "92.8554005959512"
"11" "res_pointsareas" "MSE" "10.9340400380737"
"11" "res_pointsareas" "MAE" "2.63254206132467"
"11" "res_pointsareas" "elpd" "0.267769402547308"
"11" "res_pointsareas" "WD" "16.0526890489339"
"11" "resPS_pointsareas" "MSE" "10.9648330239861"
"11" "resPS_pointsareas" "MAE" "2.63604342994673"
"11" "resPS_pointsareas" "elpd" "1.2594315790191"
"11" "resPS_pointsareas" "WD" "15.3372751901973"
"12" "res_points" "MSE" "7.07639882086404"
"12" "res_points" "MAE" "2.13664220044425"
"12" "res_points" "elpd" "0.202827176609379"
"12" "res_points" "WD" "32.3574121018459"
"12" "resPS_points" "MSE" "264.42366139104"
"12" "resPS_points" "MAE" "14.8347282149494"
"12" "resPS_points" "elpd" "3.82182776615105"
"12" "resPS_points" "WD" "387.774838093865"
"12" "res_pointsareas" "MSE" "6.3637594106559"
"12" "res_pointsareas" "MAE" "2.00048318417843"
"12" "res_pointsareas" "elpd" "0.235380932283673"
"12" "res_pointsareas" "WD" "18.5279997199796"
"12" "resPS_pointsareas" "MSE" "6.39060565262821"
"12" "resPS_pointsareas" "MAE" "2.00541437586742"
"12" "resPS_pointsareas" "elpd" "1.13516898330839"
"12" "resPS_pointsareas" "WD" "15.2846617600285"
"13" "res_points" "MSE" "13.4843269052504"
"13" "res_points" "MAE" "2.98195509041996"
"13" "res_points" "elpd" "0.419922545864858"
"13" "res_points" "WD" "31.6985209074231"
"13" "resPS_points" "MSE" "85.0209628742482"
"13" "resPS_points" "MAE" "8.51919419676824"
"13" "resPS_points" "elpd" "5.92380915369083"
"13" "resPS_points" "WD" "144.517071583757"
"13" "res_pointsareas" "MSE" "8.399873423568"
"13" "res_pointsareas" "MAE" "2.33085708486543"
"13" "res_pointsareas" "elpd" "0.391485111614618"
"13" "res_pointsareas" "WD" "16.8279044407127"
"13" "resPS_pointsareas" "MSE" "8.66058224479259"
"13" "resPS_pointsareas" "MAE" "2.32957537051063"
"13" "resPS_pointsareas" "elpd" "3.72444500981114"
"13" "resPS_pointsareas" "WD" "9.82279636529056"
"14" "res_points" "MSE" "12.3302747075667"
"14" "res_points" "MAE" "2.91295069351613"
"14" "res_points" "elpd" "0.127552066632328"
"14" "res_points" "WD" "41.5346764923779"
"14" "resPS_points" "MSE" "663.029680833373"
"14" "resPS_points" "MAE" "24.0052760573589"
"14" "resPS_points" "elpd" "3.4464881352961"
"14" "resPS_points" "WD" "847.840194379926"
"14" "res_pointsareas" "MSE" "7.74846362518968"
"14" "res_pointsareas" "MAE" "2.25701708859955"
"14" "res_pointsareas" "elpd" "0.141227511134052"
"14" "res_pointsareas" "WD" "24.3174923690915"
"14" "resPS_pointsareas" "MSE" "7.81158025862179"
"14" "resPS_pointsareas" "MAE" "2.26203354075694"
"14" "resPS_pointsareas" "elpd" "1.18353605758765"
"14" "resPS_pointsareas" "WD" "21.0308867738518"
"15" "res_points" "MSE" "7.62986998377397"
"15" "res_points" "MAE" "2.17774400571147"
