"mean" "sd" "0.025quant" "0.975quant" "mode"
"b0" -0.0578874114193375 0.0621682654503143 -0.182359674145442 0.0624613684240903 -0.0557934880204758
"Precision for the Gaussian observations" 2.70242280911997 0.296087627493359 2.15932541929003 3.32449095123938 2.66656650778067
"Theta1 for i" -4.18863633909392 0.168333348713045 -4.51351390856567 -3.85043984390475 -4.2010613071244
"Theta2 for i" 2.95702429090416 0.179489376902313 2.59591126311282 3.30290762154181 2.97123004788014
"Beta for k" 0.104776399209711 0.098791135439994 -0.0899392747709358 0.299294366127321 0.104968477255859
"b0" -0.070089391627397 0.0510258166983988 -0.169701935354045 0.0311924741513969 -0.0709186880343937
"Precision for the Gaussian observations" 2.98708353822247 0.356087587175743 2.34226011507052 3.74320792832454 2.93307434387415
"Theta1 for i" -4.57391008318719 0.256299163803873 -5.10709562580549 -4.10035477757125 -4.5182135517726
"Theta2 for i" 3.48100919546849 0.233062816178013 3.04975076663015 3.96536010948442 3.43144146384306
"Beta for k" 0.0670061696305674 0.142370101086325 -0.207704304966162 0.353125803447001 0.0563539443105438
"b0" 0.0430686697186607 0.0664534823757456 -0.0882263624316135 0.173659955484848 0.0434195374244227
"Precision for the Gaussian observations" 2.89344646581629 0.345509617853818 2.26737638814893 3.62671731935994 2.84180283429161
"Theta1 for i" -4.52135831787297 0.211362902645913 -4.95628729764907 -4.12483103338376 -4.48568137456773
"Theta2 for i" 3.30793317681736 0.198300084754852 2.9356397651927 3.71575594895522 3.27492714230402
"Beta for k" 0.347058312354858 0.114904622349152 0.122939032551091 0.575666627587685 0.342849680185483
"b0" -0.0692586968673337 0.0760013187085275 -0.223825556972122 0.0756774292462678 -0.0640661319013953
"Precision for the Gaussian observations" 2.64918463060979 0.308203662793155 2.09387915079726 3.30647809202492 2.59666993251681
"Theta1 for i" -4.30511656801995 0.233602688930738 -4.7680905449662 -3.84782798489983 -4.2998061274848
"Theta2 for i" 3.22429221792018 0.224150004325484 2.78544484992738 3.66847159358692 3.21931075802328
"Beta for k" 0.418813361067249 0.136621157105691 0.156228756953433 0.694349185519416 0.406732896046908
"b0" -0.0989224835449176 0.0668861225868802 -0.234359977838929 0.0294943216040797 -0.0955187971765591
"Precision for the Gaussian observations" 2.5571125905414 0.281729758056505 2.04188490921166 3.15051512835855 2.52048610584419
"Theta1 for i" -4.08374857780118 0.230420097692967 -4.5274859228263 -3.61993300758721 -4.10246288767845
"Theta2 for i" 3.04019778682269 0.220076541170673 2.59749888969776 3.46432917661933 3.05750552454694
"Beta for k" 0.242695472814384 0.135255129645586 -0.0168497870154131 0.515901045538578 0.22994915693741
"b0" 0.0498333640825865 0.0419957064974698 -0.0327509911196901 0.132371202894129 0.0498616678790714
"Precision for the Gaussian observations" 3.8001695168022 0.487101905711941 2.92826831410183 4.84421798678693 3.71341981041917
"Theta1 for i" -4.47568172379019 0.182021970482378 -4.83867143520574 -4.12158287255941 -4.46737756139346
"Theta2 for i" 3.28093937552261 0.171381741672129 2.94711021205012 3.62228954668433 3.27391216186951
"Beta for k" -0.231341385702759 0.0989376376441654 -0.429000626900868 -0.0392074409719163 -0.226173061657037
"b0" -0.0709481558900215 0.0505448313866545 -0.170819223195399 0.0280761812097844 -0.0705207769135311
"Precision for the Gaussian observations" 2.4868562231547 0.287142389132552 1.956886467854 3.0865824552549 2.45983241690559
"Theta1 for i" -4.22724627361672 0.188288530801918 -4.5987695895261 -3.85694953899046 -4.22608605338381
"Theta2 for i" 3.09058880828055 0.192402333710193 2.71227493626534 3.4703045135434 3.08926433735189
"Beta for k" -0.216267991809769 0.134388733163143 -0.474697186855408 0.0547092233260428 -0.227991353472352
"b0" 0.127768415515086 0.0653371545065641 -0.000379037067307408 0.257032018095989 0.127164806643812
"Precision for the Gaussian observations" 2.69499637295529 0.304968175239805 2.13523090705095 3.33523307051471 2.65992744418399
"Theta1 for i" -4.30873285305858 0.202816952663796 -4.69804419830028 -3.89918414746463 -4.32761441534141
"Theta2 for i" 3.11983232190998 0.199659837754373 2.71665552841657 3.50308069941232 3.13842574292436
"Beta for k" 0.219867149205459 0.110875158681434 0.00270044127627153 0.439562202178804 0.217490526433184
"b0" -0.0965948862718214 0.0575925714284306 -0.212897882651661 0.013743226810279 -0.0934711270562018
"Precision for the Gaussian observations" 2.98619545375283 0.373661917618579 2.31352842809182 3.78345856880316 2.92495514599159
"Theta1 for i" -4.67028024652795 0.216766648875304 -5.11361903850339 -4.26033728627735 -4.63927340930514
"Theta2 for i" 3.36284089358541 0.210010004912301 2.96522490019516 3.79196658256249 3.33357476155222
"Beta for k" 0.0624973302161866 0.106852839788826 -0.149071573272222 0.271919179595761 0.064513490124097
"b0" -0.0705519656973727 0.0624549701113794 -0.19245593499178 0.053536916802261 -0.0716547905253104
"Precision for the Gaussian observations" 2.39585502193059 0.259279192072517 1.91758684189875 2.93789254684067 2.36887544729574
"Theta1 for i" -4.26258315447615 0.174849497312546 -4.60544283250473 -3.91656414136194 -4.26554955908919
"Theta2 for i" 2.96086897158644 0.193517063805885 2.57761775635593 3.34004204053361 2.96469517080661
"Beta for k" 0.0502987211741667 0.110314155849569 -0.164989179089867 0.269644197303869 0.0464958364068838
"b0" -0.298668950082843 0.0760170947157006 -0.453930444738156 -0.154689100204355 -0.292754281297419
"Precision for the Gaussian observations" 2.58690233772357 0.277628134132439 2.07456558918426 3.1671443974546 2.55811793428951
"Theta1 for i" -4.24458468476985 0.144305130057684 -4.52750477220812 -3.95886295050405 -4.24722657869061
"Theta2 for i" 2.7802254149812 0.178679469263239 2.42559684352713 3.12969010373861 2.78508710487432
"Beta for k" 0.170415378087686 0.076978669093384 0.0190010880705527 0.322293635705836 0.169975584966758
"b0" -0.0106645557220046 0.0664183635135336 -0.144821971383249 0.116983190740639 -0.0074444670864101
"Precision for the Gaussian observations" 2.3362381055111 0.256502381372504 1.86485271815512 2.87421537364097 2.30683814489931
"Theta1 for i" -4.08232241402369 0.20584964253951 -4.48425850791777 -3.67329475424345 -4.08894910135849
"Theta2 for i" 2.91130554250223 0.210223622195233 2.49336798276012 3.32156318252925 2.91848102229308
"Beta for k" 0.126009077928508 0.112117169851988 -0.0915388302469611 0.350180564956602 0.119812710470776
"b0" -0.0286723850465368 0.0677158115779799 -0.162457568953622 0.104424194399239 -0.0283121427673285
"Precision for the Gaussian observations" 2.78440762329162 0.283178715623071 2.2650269632713 3.3796665808565 2.74757000355623
"Theta1 for i" -3.72176301133739 0.175456947004218 -4.06385856190392 -3.3722319159053 -3.72877860437165
"Theta2 for i" 2.46939909418806 0.231594040952524 2.00698809867175 2.91989709055329 2.48062690030337
"Beta for k" 0.163018407742859 0.0877336760909068 -0.0103431853620867 0.33531766875422 0.164018482732793
"b0" -0.0140683327850963 0.0608621404071235 -0.135485521212405 0.104135664687011 -0.0124730756946328
"Precision for the Gaussian observations" 2.267932271934 0.227422825549469 1.84862878751429 2.74378946298003 2.24189134198285
"Theta1 for i" -4.00523637423662 0.158530486896026 -4.31541287889352 -3.69069744373694 -4.00934670573205
"Theta2 for i" 2.7114888048281 0.195130798803222 2.32396028854777 3.09290870949155 2.71724234628834
"Beta for k" -0.050057550143514 0.105784559623595 -0.256446747960204 0.160348921635216 -0.0538246398345968
"b0" -0.12050220848677 0.0624420679660651 -0.244253971809285 0.00158346765626648 -0.119652138780833
"Precision for the Gaussian observations" 2.44185017599053 0.274210277505022 1.94383518820007 3.02285709389939 2.40075755517925
"Theta1 for i" -4.34163428422484 0.178065148703413 -4.70012859140626 -3.99868423810734 -4.32711671439968
"Theta2 for i" 3.00705722532269 0.193779651881803 2.63338271967179 3.39675183876076 2.99209123600356
"Beta for k" 0.0582480734788917 0.0961029740746387 -0.132158503208593 0.246479990967005 0.0602893432748187
"b0" -0.0190032918198052 0.0815383899815323 -0.179411025306138 0.142418013095281 -0.019550847207571
"Precision for the Gaussian observations" 2.21932100182239 0.242647610496995 1.77494049483948 2.72990118499753 2.18861207314851
"Theta1 for i" -3.9326595172475 0.201586799638572 -4.32194305715973 -3.52758102878601 -3.9474715571138
"Theta2 for i" 2.61681121753473 0.234588110002469 2.14472677818155 3.06909778469683 2.63535993738861
"Beta for k" 0.240614877151449 0.093796985389393 0.0551302993292931 0.42468982083258 0.241941262523648
"b0" 0.132831545961941 0.0770537761125447 -0.00987614882441498 0.293793762740379 0.123282836584273
"Precision for the Gaussian observations" 2.6374278926633 0.301892941098758 2.08812367388672 3.27600769899404 2.5946603142387
"Theta1 for i" -3.97327727181584 0.200531848873323 -4.35895825153123 -3.5690300822737 -3.99061389672188
"Theta2 for i" 2.76199952469831 0.211240050666868 2.33572697732763 3.16780953106326 2.78110091720724
"Beta for k" 0.182569163155643 0.0966840303965531 -0.00708940622015092 0.373834689562914 0.181059134345649
"b0" -0.110439690033001 0.0494755200782708 -0.207656979770577 -0.0130156937765811 -0.110533744798123
"Precision for the Gaussian observations" 3.00256235947112 0.357495681244872 2.34862583492688 3.75508868366723 2.95975446011542
"Theta1 for i" -4.21338290132008 0.187387812053997 -4.57364100377554 -3.83551939779188 -4.22981513149076
"Theta2 for i" 3.00896688543694 0.184579499554289 2.63655895880275 3.3636071835896 3.02554842453148
"Beta for k" -0.137843136460553 0.0948924425810584 -0.325731992072634 0.0481422109887973 -0.136054743662654
"b0" -0.0757937797458295 0.0727520555409711 -0.22136492666571 0.0658677888827865 -0.073902032047616
"Precision for the Gaussian observations" 2.47482747346556 0.25399931017927 2.0089851114799 3.00869817361624 2.44204095033123
"Theta1 for i" -4.02833540012507 0.192501469601217 -4.41145222786013 -3.65299664244236 -4.02104576929939
"Theta2 for i" 2.93544981331847 0.209250831396241 2.52724471606084 3.35169450287367 2.92791324555716
"Beta for k" 0.304583040487873 0.136491460376189 0.0417443566248352 0.579425130878782 0.293370724614017
"b0" -0.11184320195007 0.0504794904115139 -0.210021746527108 -0.0114005982767045 -0.11298617300347
"Precision for the Gaussian observations" 2.89138778484947 0.326411140272434 2.2949244942472 3.57932403974211 2.84905500098227
"Theta1 for i" -4.27425986784256 0.192413800065399 -4.65306886979501 -3.89498715552515 -4.27470722507004
"Theta2 for i" 3.15275196252422 0.18498118903506 2.78782868243748 3.51662789379454 3.15374477923742
"Beta for k" -0.0880523761363086 0.117806460075736 -0.317599064763881 0.146550468450942 -0.0927877813419472
"b0" -0.0212589629508853 0.0663716240546232 -0.150629740400952 0.111180576676415 -0.0227618234433773
"Precision for the Gaussian observations" 2.73790916359339 0.301370259507517 2.18786045348354 3.37379701801885 2.69676388881453
"Theta1 for i" -4.10422633509518 0.194614280296325 -4.48005893993782 -3.71345092868069 -4.1181677394847
"Theta2 for i" 2.97861873876223 0.197242369683405 2.5825402173255 3.35950069639678 2.99279717933078
"Beta for k" 0.246736830080716 0.123764600709434 0.00624127756797704 0.493849825160413 0.240546230814834
"b0" -0.0789069271310192 0.0555793099048399 -0.190182608350185 0.0286623785057573 -0.077022390190511
"Precision for the Gaussian observations" 3.305517189459 0.370218742922194 2.63258949882767 4.08942967259968 3.25086031353155
"Theta1 for i" -4.31746148308821 0.167028636071431 -4.65036811056086 -3.99228019374556 -4.31022549515103
"Theta2 for i" 3.06707369026074 0.1799207209229 2.71624942652762 3.42513734584999 3.06028867347675
"Beta for k" 0.0752544348143282 0.095026300259489 -0.112194935660475 0.262203045263437 0.0757298989695556
"b0" 0.146123668389588 0.0441975328639487 0.0590249244584777 0.232809808411522 0.146342123320205
"Precision for the Gaussian observations" 3.4670576743379 0.422140656901568 2.69917593429557 4.35989810795044 3.4101316913774
"Theta1 for i" -4.35688302853651 0.194811700212391 -4.73269723667937 -3.96530451062695 -4.37159672407943
"Theta2 for i" 3.17851764048342 0.189190106076671 2.79834426378067 3.54359921712339 3.19260476795084
"Beta for k" -0.198262317777165 0.094266810818098 -0.386501650365339 -0.0151099796361508 -0.19350385533099
"b0" -0.110196708468318 0.0718501590906479 -0.251685985585192 0.0317142141348644 -0.1104184649451
"Precision for the Gaussian observations" 2.45290430831392 0.281591321498315 1.94014433973213 3.0481268582779 2.41380666828006
"Theta1 for i" -4.46398297621096 0.199726943931457 -4.8646778536778 -4.07793380194791 -4.45032303421138
"Theta2 for i" 3.28893801623403 0.185865152865377 2.92941112580012 3.66156442939704 3.2767188126233
"Beta for k" 0.391173619494361 0.139543897525886 0.115687938614596 0.665455298171855 0.392308661245748
"b0" 0.0565880900846498 0.0695507057571889 -0.0747274639595122 0.199152208453927 0.0508086441018173
"Precision for the Gaussian observations" 2.4586296161291 0.255866498175383 1.98657455067101 2.99359291626495 2.43096182831812
"Theta1 for i" -4.02294934098277 0.161850096597144 -4.34364189050947 -3.70590922621496 -4.01951273296999
"Theta2 for i" 2.74116395393507 0.189651992301838 2.36916602105267 3.11644957037951 2.7380666090775
"Beta for k" 0.0932461374769702 0.102764858139998 -0.108947945147759 0.295953467078926 0.0927579641078112
"b0" -0.0646191877077308 0.0615434236871586 -0.192158734369944 0.0503833567475262 -0.0581199847182092
"Precision for the Gaussian observations" 3.10289903239449 0.344858837267017 2.47443898169566 3.83152289473845 3.05450587054253
"Theta1 for i" -4.22343249765734 0.178241395111275 -4.57471022484204 -3.87245559970645 -4.22313839073129
"Theta2 for i" 3.10393464427942 0.186862398060571 2.73580721764115 3.47202823612242 3.10397945652942
"Beta for k" 0.0702082730439331 0.125850867165688 -0.177814591431639 0.318056367707351 0.0703809867882764
"b0" -0.0819789098228475 0.0679603083673076 -0.213456293940968 0.0547335336058035 -0.0846373251449521
"Precision for the Gaussian observations" 2.52965471726024 0.278894006874255 2.02097606186118 3.11848525530421 2.49101075937021
"Theta1 for i" -4.23772650148357 0.249600450369092 -4.73538077682424 -3.75190558419828 -4.22662637068896
"Theta2 for i" 3.29346794996032 0.235269101912618 2.83581305197695 3.76281634124147 3.2825016285583
"Beta for k" 0.48282458692328 0.181097639437695 0.134453714559888 0.847816595489406 0.467307129799533
"b0" -0.0447448689818941 0.0590743904078584 -0.163592737261368 0.0691121166134282 -0.0423003547156331
"Precision for the Gaussian observations" 2.36154225501407 0.27226972278293 1.86329830512467 2.93456926925589 2.32820067592884
"Theta1 for i" -4.45258918306451 0.208709738655932 -4.84877315645607 -4.02723824937115 -4.47973661613587
"Theta2 for i" 3.2665511292854 0.193980316481032 2.87108160238455 3.63462791247166 3.2920467195498
"Beta for k" 0.0119452296596295 0.144365328806914 -0.269143184078744 0.299660120045644 0.00573594628432218
"b0" 0.112609246622309 0.0914559339370307 -0.0623377197843707 0.298573419660963 0.107014392069871
"Precision for the Gaussian observations" 2.17460101857731 0.228633708899639 1.75423820971828 2.65407346639834 2.14755849623422
"Theta1 for i" -4.03026520764979 0.173187654099517 -4.36902324481079 -3.68664815088121 -4.03482806225588
"Theta2 for i" 2.749502515003 0.198219783978131 2.35568946248919 3.13668994594013 2.75571968034779
"Beta for k" 0.347446113460232 0.0980779613661952 0.153673139873894 0.540098208304849 0.348502438444262
"b0" -0.0298420614749492 0.0622497605445621 -0.155036132295913 0.0904157552972964 -0.027380742111389
"Precision for the Gaussian observations" 3.01868227999326 0.339889422577195 2.40240795484716 3.73984519420457 2.96608397303077
"Theta1 for i" -4.32101466925093 0.19598988519826 -4.71207043071833 -3.93994073793861 -4.31168687258279
"Theta2 for i" 3.17315100256111 0.195168766321342 2.79349141046608 3.56238985123146 3.16419840701524
"Beta for k" 0.240195722176767 0.125632154352301 -0.00570425492972743 0.489245579187211 0.23724661939679
"b0" -0.115285275645736 0.0620769240467579 -0.237470922672505 0.00743159051219464 -0.115526453092185
"Precision for the Gaussian observations" 2.55059714724686 0.280408784380284 2.04383787035657 3.14728371684455 2.50348895340418
"Theta1 for i" -4.04292140319071 0.235268073785156 -4.51801930113449 -3.59124870257831 -4.0210467454774
"Theta2 for i" 3.01207056188562 0.235653614789087 2.55918597183163 3.48750446144805 2.99100580729469
"Beta for k" 0.171517723378122 0.137079236971686 -0.0940574655283664 0.446012992059053 0.163170676550818
"b0" -0.0989359977299033 0.0513392336892492 -0.200457324061444 0.00161337288799199 -0.098440335769598
"Precision for the Gaussian observations" 2.78449659220634 0.316329468990376 2.20540148951208 3.45009552714875 2.74557440776794
"Theta1 for i" -4.30792431318988 0.187704017411957 -4.67703067590274 -3.93757523474546 -4.30909600567302
"Theta2 for i" 3.16233307149276 0.184973084675751 2.7973828422088 3.52608243552291 3.16346572653162
"Beta for k" -0.0818684664788784 0.125634312482918 -0.324712539278529 0.170241544432407 -0.0905322757237719
"b0" -0.0600745156007523 0.0492546614296331 -0.157301114481407 0.0364235847522382 -0.0596973602853083
"Precision for the Gaussian observations" 3.44535047240745 0.392916322382893 2.72700832356674 4.27308419484294 3.39548408617458
"Theta1 for i" -4.15686906114465 0.16945845105895 -4.48486150160616 -3.81719469113758 -4.16780889977512
"Theta2 for i" 2.90265413792054 0.188040104891418 2.525278799204 3.26614079404486 2.91565521077877
"Beta for k" -0.0638678477511152 0.0760964329856646 -0.215671641912582 0.0841364509274688 -0.0603124720828578
"b0" -0.0206498113559565 0.0558063306679252 -0.128612308507832 0.0909910897550648 -0.0225342829837865
"Precision for the Gaussian observations" 2.92511404635893 0.329214489364294 2.32307652359034 3.61851079349385 2.88309256639869
"Theta1 for i" -4.39751840819778 0.19952738480974 -4.78544283809123 -3.99941893888032 -4.40701323182845
"Theta2 for i" 3.16734494533313 0.198870946168027 2.77050293461274 3.55394107066233 3.17690614058313
"Beta for k" 0.039835086128945 0.100517420686913 -0.158391916734248 0.237639411814349 0.0402378104292983
"b0" 0.00746873398880906 0.0544309109799381 -0.100273998694686 0.114057506554661 0.00804786748666143
"Precision for the Gaussian observations" 2.5026842335648 0.29891419093431 1.95537968867186 3.13126671124512 2.46797826631825
"Theta1 for i" -4.35437598653103 0.260835347078179 -4.88266113963982 -3.85572132628717 -4.32681257138382
"Theta2 for i" 3.33424834645709 0.229702423820218 2.89496613395114 3.79935480822701 3.31022383173604
"Beta for k" 0.0687385576449072 0.158450758390517 -0.236575242789697 0.387620558470925 0.0560622272068274
"b0" -0.00300949960279732 0.0498135223178254 -0.101510618478456 0.0946107107912632 -0.00256480785226582
"Precision for the Gaussian observations" 2.88052530801786 0.3433989179641 2.25601305409175 3.60698879264647 2.83308472371328
"Theta1 for i" -4.34332663992733 0.195233060556201 -4.72486271301926 -3.95585093157833 -4.34884422445644
"Theta2 for i" 3.2150418445478 0.17937899121988 2.85900533767926 3.56557743993451 3.22015413383171
"Beta for k" -0.0935451597515052 0.130751960017636 -0.34816844345801 0.166977281264348 -0.0990669571859538
"b0" 0.0994134926828667 0.0764399191503256 -0.0412301911813953 0.259875924731564 0.0891827124124716
"Precision for the Gaussian observations" 2.5972893093493 0.267602112075698 2.10304671889489 3.15626338363688 2.56901041977887
"Theta1 for i" -3.88019454575517 0.177335249948397 -4.22829375157075 -3.52950616164926 -3.88263870051345
"Theta2 for i" 2.69433730418432 0.217399482456509 2.26387964323494 3.12054185492598 2.69834667052365
"Beta for k" 0.143414136737287 0.108769386617598 -0.0671983923731119 0.361314998216343 0.136600279803595
"b0" -0.0160103665837189 0.0716958880258236 -0.155764852380956 0.127049992058426 -0.0176660761050792
"Precision for the Gaussian observations" 2.98073962714449 0.320719916754149 2.39096352060239 3.65315734467267 2.94385185811423
"Theta1 for i" -4.0121888064413 0.160358338101951 -4.33193870078314 -3.70007855792053 -4.0050178925812
"Theta2 for i" 2.79293849272274 0.188857387922793 2.42531744037405 3.16947564997587 2.78456827299809
"Beta for k" 0.281102804037434 0.0941356823622745 0.0945643656157724 0.465454073300852 0.283155969328124
"b0" 0.058972636539234 0.0598163639822084 -0.0578176384107921 0.177651081355522 0.0580261644495556
"Precision for the Gaussian observations" 3.26385022975338 0.374762661239764 2.58254686958827 4.05714445307909 3.20987524050206
"Theta1 for i" -4.36184745359776 0.150870629767895 -4.6572100788332 -4.06279537662811 -4.36530875887015
"Theta2 for i" 3.0638835958094 0.159064841745311 2.74825327163726 3.37495111543357 3.06816138943347
"Beta for k" 0.163868416353622 0.0837598924357112 -0.000859938396677362 0.329142263968451 0.163352206964879
"b0" 0.0299028833434093 0.0666928202386492 -0.0983516438855912 0.164556507561062 0.0267450108600383
"Precision for the Gaussian observations" 2.59232177892443 0.28578967572205 2.07051487548288 3.19513277089208 2.55369989296088
"Theta1 for i" -4.15728395270188 0.218855139385132 -4.58363415134943 -3.72148905769575 -4.16608955871906
"Theta2 for i" 3.07969493930885 0.215510030877049 2.65024504323381 3.49921104354289 3.08895683129816
"Beta for k" 0.221079767139169 0.135022132560589 -0.0381264840903925 0.493706728088271 0.208557114281151
"b0" -0.0832154778824709 0.0605348238787573 -0.202009090506319 0.0364033831058542 -0.0836261283583585
"Precision for the Gaussian observations" 2.56808412259981 0.26590969666196 2.07556152865254 3.12210489637657 2.54266141428069
"Theta1 for i" -3.83962709281406 0.17717371118474 -4.18833871329084 -3.49018069837003 -3.84032994662153
"Theta2 for i" 2.68650606168095 0.202090902450199 2.28793991021461 3.08428733421318 2.68725779716669
"Beta for k" 0.0424740969788764 0.0993196875377123 -0.152620028169961 0.238711054761868 0.0413960927235579
"b0" 0.125029145061085 0.0565919542741893 0.0162386295218589 0.238907848492532 0.122404965209675
"Precision for the Gaussian observations" 2.43587802392233 0.275166023228233 1.92674692299574 3.00929279010931 2.41155733910077
"Theta1 for i" -3.8135047942817 0.222366686232488 -4.23423974512234 -3.35903098746175 -3.84489008833249
"Theta2 for i" 2.71903022173616 0.217017018757183 2.27595413050724 3.1301750430636 2.74873809715363
"Beta for k" -0.119797843335449 0.10496538675961 -0.326714847705131 0.086854589741345 -0.119542562366659
"b0" 0.287749798528321 0.0574309887313066 0.175388524274618 0.401657241130397 0.28696388885207
"Precision for the Gaussian observations" 3.21883722570533 0.39219531308482 2.51495063451802 4.05786136925077 3.14955205351317
