"mean" "sd" "0.025quant" "0.975quant" "mode"
"b0" 0.388747858817493 0.153540042214797 0.0749160215831644 0.684485511768204 0.397727390349611
"b0pp" 4.41700609625244 0.149802035589531 4.10414619651384 4.6950154850071 4.43473421815419
"Precision for the Gaussian observations" 3.50707997646543 0.79352963237095 2.18090794086975 5.291172156571 3.28402277510523
"Theta1 for i" -3.73050756893038 0.281205418167899 -4.26949330745781 -3.16182407916589 -3.75822263590097
"Theta2 for i" 2.71218727683684 0.266862542721775 2.17354004878448 3.22478119536153 2.73652006731724
"Beta for j" 0.688100819419124 0.141063096732664 0.414257374784174 0.970168618638011 0.680366368453668
"b0" 0.337539916898877 0.213531863078874 -0.045709757943991 0.806212860478032 0.293995162182134
"b0pp" 4.62928228839336 0.120681027888146 4.39744167521242 4.87399064954868 4.62372228753081
"Precision for the Gaussian observations" 2.75249942885307 0.561682908960186 1.79924211571033 4.00300045919434 2.60721987614986
"Theta1 for i" -3.20418263693898 0.325998463193188 -3.83266057263087 -2.54813317607909 -3.23000889465
"Theta2 for i" 2.16592936326771 0.358917996779885 1.44331262128858 2.85752459412987 2.19497786422132
"Beta for j" 0.289886320700981 0.149899808570154 -0.0023544278623337 0.588271290403408 0.284122336354409
"b0" -0.267750735217877 0.122268133062683 -0.502318030140635 -0.0166269688070332 -0.275390118433266
"b0pp" 4.59504618476206 0.101507922496655 4.39579127667247 4.79397926001284 4.595214507005
"Precision for the Gaussian observations" 4.239361092748 0.994748377955365 2.61963861182635 6.51585820868623 3.90659226801201
"Theta1 for i" -3.99604802429234 0.337970730459292 -4.65946383688235 -3.32812760339352 -4.00025671277983
"Theta2 for i" 3.03240674871417 0.301459007740472 2.43571305682316 3.62323342648685 3.0378796868072
"Beta for j" 0.0324278103571955 0.146533664903937 -0.254624239669282 0.322778064958254 0.0293219342795345
"b0" -0.0435603358930435 0.118183817641459 -0.282973438895946 0.186613378965064 -0.0388872672328607
"b0pp" 4.56723008696412 0.107978423308314 4.35153763599171 4.7756961928047 4.57086377529717
"Precision for the Gaussian observations" 3.78845154430137 0.953116956840092 2.2506213433039 5.98046299781227 3.46135207791612
"Theta1 for i" -4.00738698265663 0.335119964848574 -4.66093843166878 -3.3410218556608 -4.01926611013905
"Theta2 for i" 3.08201165467692 0.305184322876578 2.4757585469287 3.67780346768649 3.09171522168795
"Beta for j" 0.269370210970051 0.168816846253301 -0.0657846813711273 0.599395744825175 0.274190662900431
"b0" -0.0316508690620349 0.181250014325077 -0.411256104083931 0.311884332238806 -0.0140935302935462
"b0pp" 4.51734777331129 0.126526651020808 4.25418109836519 4.75303036121566 4.53086538271101
"Precision for the Gaussian observations" 2.20061885996047 0.465263459828851 1.4186513206586 3.24315195055708 2.0716831368109
"Theta1 for i" -3.60300486684228 0.322850549471849 -4.22830991673496 -2.95686743759533 -3.62232932490992
"Theta2 for i" 2.54051171061194 0.314245471985061 1.9118565747177 3.14944902978777 2.55880844672832
"Beta for j" 0.358498175414758 0.149659321451839 0.0655264080464716 0.655217422903429 0.354974539586947
"b0" -0.188557107589886 0.114861377455405 -0.404938851697583 0.0494944438961641 -0.199890671729601
"b0pp" 4.58557955382296 0.104164022165783 4.38005281952258 4.78886915732498 4.58670132749289
"Precision for the Gaussian observations" 1.97067217739892 0.471859855825446 1.14856921201229 2.99015435234082 1.88765376512503
"Theta1 for i" -3.67541593527544 0.626720466639212 -4.78556908438044 -2.33666123872289 -3.89122070918034
"Theta2 for i" 3.07686274366071 0.439405474394199 2.16284282513279 3.88816711956252 3.17335755735311
"Beta for j" 0.205298079896494 0.276114931065154 -0.293689158592312 0.788639603461428 0.126824701714834
"b0" -0.200001293673667 0.154667844163787 -0.518744420512312 0.098450743242378 -0.189406005889845
"b0pp" 4.55167175403298 0.115538820944873 4.31624588857063 4.77115032697145 4.55941498161403
"Precision for the Gaussian observations" 3.40828665644142 0.781395175669831 2.11584213138735 5.17752741051102 3.17174756823732
"Theta1 for i" -3.60574731536718 0.331464576136875 -4.26363228029817 -2.95796778237919 -3.59634820036886
"Theta2 for i" 2.63495162930484 0.319070317184591 2.01114398244979 3.26800248226949 2.62635006986559
"Beta for j" 0.292938590780074 0.156566840844702 -0.0149147417842803 0.602118213512795 0.291678938885924
"b0" -0.178817610182065 0.197681642386524 -0.607061843338279 0.185749023927928 -0.148571083444208
"b0pp" 4.56842693914503 0.109485001933518 4.34760291853703 4.77818946296237 4.57378599313257
"Precision for the Gaussian observations" 2.57140343947493 0.70291607482236 1.4354375397235 4.18473813909507 2.33896937922357
"Theta1 for i" -3.81767636166012 0.429773792925809 -4.64015723967295 -2.94684878044022 -3.8626902889302
"Theta2 for i" 2.62698766343013 0.401488522182613 1.813792609358 3.39567529500158 2.66844498174992
"Beta for j" 0.147725640696697 0.118942906144114 -0.0836955574787342 0.384953830123306 0.142281672815366
"b0" -0.041104304637067 0.163958493679895 -0.346079787391979 0.308050205071031 -0.0603234065476026
"b0pp" 4.54828673560463 0.120897711268923 4.30508751555715 4.78116777706208 4.55348871885906
"Precision for the Gaussian observations" 2.78865232467257 0.841864418125277 1.33396278069032 4.57834385170385 2.6210806341786
"Theta1 for i" -3.73345878979637 0.556116410140612 -4.61765263825497 -2.48237764291083 -4.0891954348505
"Theta2 for i" 2.74479876574805 0.439249712337089 1.77150928264519 3.46962919356681 2.98302974601148
"Beta for j" 0.405638355007033 0.138059173912791 0.132525498230737 0.676455633324339 0.407794541180144
"b0" -0.18210813540678 0.169319597716581 -0.52235100693816 0.156133594953964 -0.181438307561012
"b0pp" 4.57186611096935 0.113500468938996 4.34285109577367 4.78980017192745 4.57707147000793
"Precision for the Gaussian observations" 2.50575232788054 0.511123862734826 1.63181644636954 3.63726389325178 2.38296370671606
"Theta1 for i" -3.61348298110494 0.342737088441307 -4.26386708692547 -2.91429710758618 -3.65878803112185
"Theta2 for i" 2.58874294657329 0.347039891998155 1.88154083732463 3.24814989927105 2.6331423703279
"Beta for j" 0.275702434586599 0.161601147785875 -0.0436262496667009 0.593143313885368 0.27748583373692
"b0" -0.0175245572824153 0.20880238838974 -0.417580799098514 0.416972789395409 -0.0347205635809458
"b0pp" 4.58681846860258 0.114236893000144 4.35883077201111 4.80859475255611 4.58976211462163
"Precision for the Gaussian observations" 2.52894403293787 0.489039312310376 1.69737974834883 3.61677956129502 2.40092388285897
"Theta1 for i" -3.71690646942469 0.254886308089687 -4.2250522342705 -3.22082197970452 -3.70561407114869
"Theta2 for i" 2.50194778767004 0.287924275769426 1.94082804785706 3.07523176662821 2.49055432638722
"Beta for j" 0.249835237395631 0.118150299185624 0.019446109952668 0.485010420824342 0.245336611053838
"b0" -0.138756633151296 0.149836644761927 -0.439860900932269 0.158008786998925 -0.137275803847037
"b0pp" 4.55061526781825 0.114724485944178 4.31830364115649 4.76966077517668 4.55719311226257
"Precision for the Gaussian observations" 2.25324885036779 0.52615563550417 1.38585001376646 3.4472294720328 2.0913337618875
"Theta1 for i" -3.81665460666651 0.441112050915629 -4.69147385646673 -2.95342719524978 -3.80576244909227
"Theta2 for i" 2.82662154581372 0.393002414604718 2.05749460547972 3.60597841861235 2.81700937635132
"Beta for j" 0.333196503022124 0.150065521559116 0.0390238281633961 0.630292543325497 0.330447751650278
"b0" 0.150498161443333 0.19673325628074 -0.194568981293249 0.587740950255706 0.102452502528335
"b0pp" 4.60907939836352 0.108222822719428 4.39828389169915 4.82364535464788 4.60757752843386
"Precision for the Gaussian observations" 2.07161380517887 0.348536724305575 1.45834952247038 2.82768457934282 2.00516472635139
"Theta1 for i" -3.02176697562791 0.377134270589928 -3.77029075970667 -2.28394673580124 -3.0116646372281
"Theta2 for i" 2.18744137089962 0.412104391511933 1.38270770779346 3.00685656459876 2.17359705531221
"Beta for j" 0.168389533519008 0.187565018584715 -0.189237799286758 0.54940137495137 0.146609909638464
"b0" -0.0412430413701243 0.134108151006582 -0.300107631914567 0.234195124010694 -0.0480120095406407
"b0pp" 4.59202707259317 0.102216956975605 4.39100804792189 4.79202728936268 4.59254912985152
"Precision for the Gaussian observations" 3.2180809774414 0.748424651516446 1.95422586245834 4.8859670149839 3.02789341478097
"Theta1 for i" -3.82459960432915 0.366317777729453 -4.5374635577477 -3.09447700969937 -3.84067206747435
"Theta2 for i" 2.88933476949249 0.334633964997307 2.22370241908752 3.54191412758158 2.90149606982428
"Beta for j" 0.0500377874011277 0.165019234503845 -0.267122147113328 0.382931714360387 0.0353421167374979
"b0" -0.234904773637964 0.22293804580139 -0.691503045081631 0.206900061614832 -0.226364552823402
"b0pp" 4.59349506214075 0.104848233678121 4.38682888679601 4.79846365372076 4.59433396392533
"Precision for the Gaussian observations" 2.46674764489635 0.48659087426033 1.63446840375839 3.54469430675186 2.34792724078121
"Theta1 for i" -3.40765229715079 0.32249628744728 -4.02473143467571 -2.75363509460917 -3.44175644949165
"Theta2 for i" 2.23261428228125 0.383267590038614 1.45440831696107 2.96491252940713 2.27496095017442
"Beta for j" 0.0120749714787413 0.137375571638418 -0.256177731607803 0.285168386334746 0.00751852899135215
"b0" 0.217817326892846 0.127073696541193 -0.0311213909144061 0.473316000477158 0.215147087372695
"b0pp" 4.57762065922673 0.10528602770165 4.36881154878166 4.78213805854783 4.57980138449775
"Precision for the Gaussian observations" 3.47672064289813 0.945630184993945 1.9610075734137 5.65801054426521 3.14914970029969
"Theta1 for i" -4.21055864558481 0.378000130222073 -4.92528473580416 -3.43755742939064 -4.26475646533413
"Theta2 for i" 3.14480712529745 0.322798343559753 2.48616005958044 3.75683604622736 3.18817991106731
"Beta for j" 0.198070053072207 0.142034020535896 -0.0812426207039888 0.47841698737965 0.197089441947855
"b0" 0.306903358564064 0.197619261197821 -0.0607027086719593 0.72709872501671 0.277900847962289
"b0pp" 4.61463505913924 0.133968526710768 4.3528481794438 4.88380103269987 4.6116437394697
